北京市（92所）,
221,沧州职业技术学院
222,河北能源职业技术学院
223,石家庄铁路职业技术学院
224,保定职业技术学院
225,秦皇岛职业技术学院
226,石家庄工程职业学院
227,石家庄城市经济职业学院
228,唐山职业技术学院
229,衡水职业技术学院
230,唐山工业职业技术学院
231,邢台医学高等专科学校
232,河北省艺术职业学院
233,河北旅游职业学院
234,石家庄财经职业学院
235,河北交通职业技术学院
236,河北化工医药职业技术学院
237,石家庄信息工程职业学院
238,河北对外经贸职业学院
239,保定电力职业技术学院
240,河北机电职业技术学院
241,渤海石油职业学院
242,廊坊职业技术学院
243,唐山科技职业技术学院
244,石家庄邮电职业技术学院
245,河北公安警察职业学院
246,石家庄工商职业学院
247,石家庄理工职业学院
248,石家庄科技信息职业学院
249,河北司法警官职业学院
250,沧州医学高等专科学校
251,河北女子职业技术学院
252,石家庄医学高等专科学校
253,石家庄经济职业学院
254,冀中职业学院
255,石家庄人民医学高等专科学校
256,石家庄科技工程职业学院
257,河北劳动关系职业学院
258,石家庄科技职业学院
259,泊头职业学院
260,宣化科技职业学院
261,廊坊燕京职业技术学院
262,承德护理职业学院
263,石家庄幼儿师范高等专科学校
264,廊坊卫生职业学院
265,河北轨道运输职业技术学院
266,保定幼儿师范高等专科学校
267,河北工艺美术职业学院
268,渤海理工职业学院
269,唐山幼儿师范高等专科学校
270,曹妃甸职业技术学院
山西省（80所）,
271,山西大学
272,太原科技大学
273,中北大学
274,太原理工大学
275,山西农业大学
276,山西医科大学
277,长治医学院
278,山西师范大学
279,太原师范学院
280,山西大同大学
281,晋中学院
282,长治学院
283,运城学院
284,忻州师范学院
285,山西财经大学
286,山西中医药大学
287,吕梁学院
288,太原学院
289,山西警察学院
290,山西应用科技学院
291,山西大学商务学院
292,太原理工大学现代科技学院
293,山西农业大学信息学院
294,山西师范大学现代文理学院
295,中北大学信息商务学院
296,太原科技大学华科学院
297,山西医科大学晋祠学院
298,山西财经大学华商学院
299,山西工商学院
300,太原工业学院
301,山西传媒学院
302,山西工程技术学院
303,山西能源学院
304,山西省财政税务专科学校
305,长治职业技术学院
306,山西艺术职业学院
307,晋城职业技术学院
308,山西建筑职业技术学院
309,山西药科职业学院
310,山西工程职业技术学院
311,山西交通职业技术学院
312,大同煤炭职业技术学院
313,山西机电职业技术学院
314,山西戏剧职业学院
315,山西财贸职业技术学院
316,山西林业职业技术学院
317,山西水利职业技术学院
318,阳泉职业技术学院
319,临汾职业技术学院
320,山西职业技术学院
321,山西煤炭职业技术学院
322,山西金融职业学院
323,太原城市职业技术学院
324,山西信息职业技术学院
325,山西体育职业学院
326,山西警官职业学院
327,山西国际商务职业学院
328,潞安职业技术学院
329,太原旅游职业学院
330,山西旅游职业学院
331,山西管理职业学院
332,山西电力职业技术学院
333,忻州职业技术学院
334,山西同文职业技术学院
335,晋中职业技术学院
336,山西华澳商贸职业学院
337,山西运城农业职业技术学院
338,运城幼儿师范高等专科学校
339,山西老区职业技术学院
340,山西经贸职业学院
341,朔州职业技术学院
342,运城职业技术学院
343,山西轻工职业技术学院
344,晋中师范高等专科学校
345,阳泉师范高等专科学校
346,山西青年职业学院
347,运城护理职业学院
348,运城师范高等专科学校
349,朔州师范高等专科学校
350,吕梁职业技术学院
内蒙古自治区（53所）,
351,内蒙古大学
352,内蒙古科技大学
353,内蒙古工业大学
354,内蒙古农业大学
355,内蒙古医科大学
356,内蒙古师范大学
357,内蒙古民族大学
358,赤峰学院
359,内蒙古财经大学
360,呼伦贝尔学院
361,集宁师范学院
362,河套学院
363,呼和浩特民族学院
364,内蒙古大学创业学院
365,内蒙古师范大学鸿德学院
366,内蒙古艺术学院
367,鄂尔多斯应用技术学院
368,内蒙古建筑职业技术学院
369,内蒙古丰州职业学院
370,包头职业技术学院
371,兴安职业技术学院
372,呼和浩特职业学院
373,包头轻工职业技术学院
374,内蒙古电子信息职业技术学院
375,内蒙古机电职业技术学院
376,内蒙古化工职业学院
377,内蒙古商贸职业学院
378,锡林郭勒职业学院
379,内蒙古警察职业学院
380,内蒙古体育职业学院
381,乌兰察布职业学院
382,通辽职业学院
383,科尔沁艺术职业学院
384,内蒙古交通职业技术学院
385,包头钢铁职业技术学院
386,乌海职业技术学院
387,内蒙古科技职业学院
388,内蒙古北方职业技术学院
389,赤峰职业技术学院
390,内蒙古经贸外语职业学院
391,包头铁道职业技术学院
392,乌兰察布医学高等专科学校
393,鄂尔多斯职业学院
394,内蒙古工业职业学院
395,呼伦贝尔职业技术学院
396,满洲里俄语职业学院
397,内蒙古能源职业学院
398,赤峰工业职业技术学院
399,阿拉善职业技术学院
400,内蒙古美术职业学院
401,"内蒙古民族幼儿师范
高等专科学校"
402,鄂尔多斯生态环境职业学院
403,扎兰屯职业学院
辽宁省（115所）,
404,辽宁大学
405,大连理工大学
406,沈阳工业大学
407,沈阳航空航天大学
408,沈阳理工大学
409,东北大学
410,辽宁科技大学
411,辽宁工程技术大学
412,辽宁石油化工大学
413,沈阳化工大学
414,大连交通大学
415,大连海事大学
416,大连工业大学
417,沈阳建筑大学
418,辽宁工业大学
419,沈阳农业大学
420,大连海洋大学
421,中国医科大学
422,锦州医科大学
423,大连医科大学
424,辽宁中医药大学
425,沈阳药科大学
426,沈阳医学院
427,辽宁师范大学
428,沈阳师范大学
429,渤海大学
430,鞍山师范学院
431,大连外国语大学
432,东北财经大学
433,中国刑事警察学院
434,沈阳体育学院
435,沈阳音乐学院
436,鲁迅美术学院
437,辽宁对外经贸学院
438,沈阳大学
439,大连大学
440,辽宁科技学院
441,辽宁警察学院
442,沈阳工程学院
443,辽东学院
444,大连民族大学
445,大连理工大学城市学院
446,沈阳工业大学工程学院
447,"沈阳航空航天大学北方科技
学院"
448,沈阳工学院
449,"大连工业大学艺术与信息工程
学院"
450,大连科技学院
451,沈阳城市建设学院
452,中国医科大学临床医药学院
453,大连医科大学中山学院
454,锦州医科大学医疗学院
455,辽宁师范大学海华学院
456,辽宁理工学院
457,大连财经学院
458,沈阳城市学院
459,"辽宁石油化工大学顺华能源
学院"
460,大连艺术学院
461,辽宁中医药大学杏林学院
462,辽宁何氏医学院
463,沈阳科技学院
464,大连东软信息学院
465,辽宁财贸学院
466,辽宁传媒学院
467,营口理工学院
468,朝阳师范高等专科学校
469,抚顺师范高等专科学校
470,锦州师范高等专科学校
471,营口职业技术学院
472,铁岭师范高等专科学校
473,大连职业技术学院
474,辽宁农业职业技术学院
475,抚顺职业技术学院
476,辽阳职业技术学院
477,阜新高等专科学校
478,辽宁省交通高等专科学校
479,辽宁税务高等专科学校
480,盘锦职业技术学院
481,沈阳航空职业技术学院
482,辽宁体育运动职业技术学院
483,辽宁职业学院
484,辽宁林业职业技术学院
485,沈阳职业技术学院
486,辽宁理工职业学院
487,大连商务职业学院
488,辽宁金融职业学院
489,辽宁轨道交通职业学院
490,辽宁广告职业学院
491,辽宁机电职业技术学院
492,辽宁经济职业技术学院
493,辽宁石化职业技术学院
494,渤海船舶职业学院
495,大连软件职业学院
496,大连翻译职业学院
497,辽宁商贸职业学院
498,大连枫叶职业技术学院
499,辽宁装备制造职业技术学院
500,辽河石油职业技术学院
501,辽宁地质工程职业学院
502,辽宁铁道职业技术学院
503,辽宁建筑职业学院
504,大连航运职业技术学院
505,大连装备制造职业技术学院
506,大连汽车职业技术学院
507,辽宁现代服务职业技术学院
508,辽宁冶金职业技术学院
509,辽宁工程职业学院
510,辽宁城市建设职业技术学院
511,辽宁医药职业学院
512,铁岭卫生职业学院
513,沈阳北软信息职业技术学院
514,辽宁政法职业学院
515,辽宁民族师范高等专科学校
516,辽宁轻工职业学院
517,辽宁水利职业学院
518,"辽宁特殊教育师范高等专科
学校"
吉林省（62所）,
519,吉林大学
520,延边大学
521,长春理工大学
522,东北电力大学
523,长春工业大学
524,吉林建筑大学
525,吉林化工学院
526,吉林农业大学
527,长春中医药大学
528,东北师范大学
529,北华大学
530,通化师范学院
531,吉林师范大学
532,吉林工程技术师范学院
533,长春师范大学
534,白城师范学院
535,吉林财经大学
536,吉林体育学院
537,吉林艺术学院
538,吉林华桥外国语学院
539,吉林工商学院
540,长春工程学院
541,吉林农业科技学院
542,吉林警察学院
543,长春大学
544,长春光华学院
545,长春工业大学人文信息学院
546,长春理工大学光电信息学院
547,长春财经学院
548,吉林建筑大学城建学院
549,长春建筑学院
550,长春科技学院
551,吉林动画学院
552,吉林师范大学博达学院
553,长春大学旅游学院
554,东北师范大学人文学院
555,吉林医药学院
556,长春师范高等专科学校
557,辽源职业技术学院
558,四平职业大学
559,长春汽车工业高等专科学校
560,长春金融高等专科学校
561,长春医学高等专科学校
562,吉林交通职业技术学院
563,长春东方职业学院
564,吉林司法警官职业学院
565,吉林电子信息职业技术学院
566,吉林工业职业技术学院
567,吉林工程职业学院
568,长春职业技术学院
569,白城医学高等专科学校
570,长春信息技术职业学院
571,松原职业技术学院
572,吉林铁道职业技术学院
573,白城职业技术学院
574,长白山职业技术学院
575,吉林科技职业技术学院
576,延边职业技术学院
577,吉林城市职业技术学院
578,吉林职业技术学院
579,吉林水利电力职业学院
580,长春健康职业学院
黑龙江省（81所）,
581,黑龙江大学
582,哈尔滨工业大学
583,哈尔滨理工大学
584,哈尔滨工程大学
585,黑龙江科技大学
586,东北石油大学
587,佳木斯大学
588,黑龙江八一农垦大学
589,东北农业大学
590,东北林业大学
591,哈尔滨医科大学
592,黑龙江中医药大学
593,牡丹江医学院
594,哈尔滨师范大学
595,齐齐哈尔大学
596,牡丹江师范学院
597,哈尔滨学院
598,大庆师范学院
599,绥化学院
600,哈尔滨商业大学
601,哈尔滨体育学院
602,哈尔滨金融学院
603,齐齐哈尔医学院
604,黑龙江工业学院
605,黑龙江东方学院
606,哈尔滨信息工程学院
607,黑龙江工程学院
608,齐齐哈尔工程学院
609,黑龙江外国语学院
610,黑龙江财经学院
611,哈尔滨石油学院
612,黑龙江工商学院
613,哈尔滨远东理工学院
614,哈尔滨剑桥学院
615,黑龙江工程学院昆仑旅游学院
616,哈尔滨广厦学院
617,哈尔滨华德学院
618,黑河学院
619,哈尔滨音乐学院
620,齐齐哈尔高等师范专科学校
621,伊春职业学院
622,牡丹江大学
623,黑龙江职业学院
624,黑龙江建筑职业技术学院
625,黑龙江艺术职业学院
626,大庆职业学院
627,黑龙江林业职业技术学院
628,黑龙江农业职业技术学院
629,黑龙江农业工程职业学院
630,黑龙江农垦职业学院
631,黑龙江司法警官职业学院
632,鹤岗师范高等专科学校
633,哈尔滨电力职业技术学院
634,哈尔滨铁道职业技术学院
635,大兴安岭职业学院
636,黑龙江农业经济职业学院
637,哈尔滨职业技术学院
638,哈尔滨传媒职业学院
639,黑龙江生物科技职业学院
640,黑龙江商业职业学院
641,黑龙江公安警官职业学院
642,黑龙江信息技术职业学院
643,哈尔滨城市职业学院
644,黑龙江农垦科技职业学院
645,黑龙江旅游职业技术学院
646,黑龙江三江美术职业学院
647,黑龙江生态工程职业学院
648,黑龙江能源职业学院
649,七台河职业学院
650,黑龙江民族职业学院
651,大庆医学高等专科学校
652,黑龙江交通职业技术学院
653,哈尔滨应用职业技术学院
654,黑龙江幼儿师范高等专科学校
655,哈尔滨科学技术职业学院
656,黑龙江粮食职业学院
657,佳木斯职业学院
658,黑龙江护理高等专科学校
659,齐齐哈尔理工职业学院
660,哈尔滨幼儿师范高等专科学校
661,黑龙江冰雪体育职业学院
上海市（64所）,
662,复旦大学
663,同济大学
664,上海交通大学
665,华东理工大学
666,上海理工大学
667,上海海事大学
668,东华大学
669,上海电力学院
670,上海应用技术大学
671,上海健康医学院
672,上海海洋大学
673,上海中医药大学
674,华东师范大学
675,上海师范大学
676,上海外国语大学
677,上海财经大学
678,上海对外经贸大学
679,上海海关学院
680,华东政法大学
681,上海体育学院
682,上海音乐学院
683,上海戏剧学院
684,上海大学
685,上海公安学院
686,上海工程技术大学
687,上海立信会计金融学院
688,上海电机学院
689,上海杉达学院
690,上海政法学院
691,上海第二工业大学
692,上海商学院
693,上海建桥学院
694,上海兴伟学院
695,上海视觉艺术学院
696,"上海外国语大学贤达经济人文
学院"
697,上海师范大学天华学院
698,上海科技大学
699,上海纽约大学
700,上海旅游高等专科学校
701,上海东海职业技术学院
702,上海工商职业技术学院
703,上海出版印刷高等专科学校
704,上海行健职业学院
705,上海城建职业学院
706,上海交通职业技术学院
707,上海海事职业技术学院
708,上海电子信息职业技术学院
709,上海震旦职业学院
710,上海民远职业技术学院
711,上海欧华职业技术学院
712,上海思博职业技术学院
713,上海立达职业技术学院
714,上海工艺美术职业学院
715,上海济光职业技术学院
716,上海工商外国语职业学院
717,上海科学技术职业学院
718,上海农林职业技术学院
719,上海邦德职业技术学院
720,上海中侨职业技术学院
721,上海电影艺术职业学院
722,上海中华职业技术学院
723,上海工会管理职业学院
724,上海体育职业学院
725,上海民航职业技术学院
江苏省（167所）,
726,南京大学
727,苏州大学
728,东南大学
729,南京航空航天大学
730,南京理工大学
731,江苏科技大学
732,中国矿业大学
733,南京工业大学
734,常州大学
735,南京邮电大学
736,河海大学
737,江南大学
738,南京林业大学
739,江苏大学
740,南京信息工程大学
741,南通大学
742,盐城工学院
743,南京农业大学
744,南京医科大学
745,徐州医科大学
746,南京中医药大学
747,中国药科大学
748,南京师范大学
749,江苏师范大学
750,淮阴师范学院
751,盐城师范学院
752,南京财经大学
753,江苏警官学院
754,南京体育学院
755,南京艺术学院
756,苏州科技大学
757,常熟理工学院
758,淮阴工学院
759,常州工学院
760,扬州大学
761,三江学院
762,南京工程学院
763,南京审计大学
764,南京晓庄学院
765,江苏理工学院
766,淮海工学院
767,徐州工程学院
768,南京特殊教育师范学院
769,南通理工学院
770,南京森林警察学院
771,东南大学成贤学院
772,泰州学院
773,无锡太湖学院
774,金陵科技学院
775,中国矿业大学徐海学院
776,南京大学金陵学院
777,南京理工大学紫金学院
778,南京航空航天大学金城学院
779,中国传媒大学南广学院
780,南京理工大学泰州科技学院
781,南京师范大学泰州学院
782,南京工业大学浦江学院
783,南京师范大学中北学院
784,南京医科大学康达学院
785,南京中医药大学翰林学院
786,南京信息工程大学滨江学院
787,苏州大学文正学院
788,苏州大学应用技术学院
789,苏州科技大学天平学院
790,江苏大学京江学院
791,扬州大学广陵学院
792,江苏师范大学科文学院
793,南京邮电大学通达学院
794,南京财经大学红山学院
795,江苏科技大学苏州理工学院
796,常州大学怀德学院
797,南通大学杏林学院
798,南京审计大学金审学院
799,宿迁学院
800,江苏第二师范学院
801,西交利物浦大学
802,昆山杜克大学
803,盐城幼儿师范高等专科学校
804,苏州幼儿师范高等专科学校
805,明达职业技术学院
806,无锡职业技术学院
807,江苏建筑职业技术学院
808,南京工业职业技术学院
809,江苏工程职业技术学院
810,苏州工艺美术职业技术学院
811,连云港职业技术学院
812,镇江市高等专科学校
813,南通职业大学
814,苏州职业大学
815,沙洲职业工学院
816,扬州市职业大学
817,连云港师范高等专科学校
818,江苏经贸职业技术学院
819,九州职业技术学院
820,硅湖职业技术学院
821,泰州职业技术学院
822,常州信息职业技术学院
823,江苏联合职业技术学院
824,江苏海事职业技术学院
825,应天职业技术学院
826,无锡科技职业学院
827,江苏医药职业学院
828,扬州环境资源职业技术学院
829,南通科技职业学院
830,苏州经贸职业技术学院
831,苏州工业职业技术学院
832,苏州托普信息职业技术学院
833,苏州卫生职业技术学院
834,无锡商业职业技术学院
835,南通航运职业技术学院
836,南京交通职业技术学院
837,淮安信息职业技术学院
838,江苏农牧科技职业学院
839,常州纺织服装职业技术学院
840,苏州农业职业技术学院
841,苏州工业园区职业技术学院
842,太湖创意职业技术学院
843,炎黄职业技术学院
844,南京科技职业学院
845,正德职业技术学院
846,钟山职业技术学院
847,无锡南洋职业技术学院
848,江南影视艺术职业学院
849,金肯职业技术学院
850,常州轻工职业技术学院
851,常州工程职业技术学院
852,江苏农林职业技术学院
853,江苏食品药品职业技术学院
854,建东职业技术学院
855,南京铁道职业技术学院
856,徐州工业职业技术学院
857,江苏信息职业技术学院
858,宿迁职业技术学院
859,南京信息职业技术学院
860,江海职业技术学院
861,常州机电职业技术学院
862,江阴职业技术学院
863,无锡城市职业技术学院
864,无锡工艺职业技术学院
865,金山职业技术学院
866,苏州健雄职业技术学院
867,盐城工业职业技术学院
868,江苏财经职业技术学院
869,扬州工业职业技术学院
870,苏州百年职业学院
871,昆山登云科技职业学院
872,南京视觉艺术职业学院
873,江苏城市职业学院
874,南京城市职业学院
875,南京机电职业技术学院
876,苏州高博软件技术职业学院
877,南京旅游职业学院
878,江苏卫生健康职业学院
879,苏州信息职业技术学院
880,宿迁泽达职业技术学院
881,"苏州工业园区服务外包
职业学院"
882,徐州幼儿师范高等专科学校
883,徐州生物工程职业技术学院
884,江苏商贸职业学院
885,南通师范高等专科学校
886,扬州中瑞酒店职业学院
887,江苏护理职业学院
888,江苏财会职业学院
889,江苏城乡建设职业学院
890,江苏航空职业技术学院
891,江苏安全技术职业学院
892,江苏旅游职业学院
浙江省（107所）,
893,浙江大学
894,杭州电子科技大学
895,浙江工业大学
896,浙江理工大学
897,浙江海洋大学
898,浙江农林大学
899,温州医科大学
900,浙江中医药大学
901,浙江师范大学
902,杭州师范大学
903,湖州师范学院
904,绍兴文理学院
905,台州学院
906,温州大学
907,丽水学院
908,浙江工商大学
909,嘉兴学院
910,中国美术学院
911,中国计量大学
912,公安海警学院
913,浙江万里学院
914,浙江科技学院
915,宁波工程学院
916,浙江水利水电学院
917,浙江财经大学
918,浙江警察学院
919,衢州学院
920,宁波大学
921,浙江传媒学院
922,浙江树人学院
923,浙江越秀外国语学院
924,宁波大红鹰学院
925,浙江大学城市学院
926,浙江大学宁波理工学院
927,杭州医学院
928,浙江工业大学之江学院
929,浙江师范大学行知学院
930,宁波大学科学技术学院
931,"杭州电子科技大学信息工程
学院"
932,"浙江理工大学科技与艺术
学院"
933,"浙江海洋大学东海科学技术
学院"
934,浙江农林大学暨阳学院
935,温州医科大学仁济学院
936,浙江中医药大学滨江学院
937,杭州师范大学钱江学院
938,湖州师范学院求真学院
939,绍兴文理学院元培学院
940,温州大学瓯江学院
941,浙江工商大学杭州商学院
942,嘉兴学院南湖学院
943,中国计量大学现代科技学院
944,浙江财经大学东方学院
945,温州商学院
946,同济大学浙江学院
947,上海财经大学浙江学院
948,浙江外国语学院
949,浙江音乐学院
950,宁波诺丁汉大学
951,温州肯恩大学
952,宁波职业技术学院
953,温州职业技术学院
954,浙江交通职业技术学院
955,金华职业技术学院
956,宁波城市职业技术学院
957,浙江电力职业技术学院
958,浙江同济科技职业学院
959,浙江工商职业技术学院
960,台州职业技术学院
961,浙江工贸职业技术学院
962,浙江医药高等专科学校
963,浙江机电职业技术学院
964,浙江建设职业技术学院
965,浙江艺术职业学院
966,浙江经贸职业技术学院
967,浙江商业职业技术学院
968,浙江经济职业技术学院
969,浙江旅游职业学院
970,浙江育英职业技术学院
971,浙江警官职业学院
972,浙江金融职业学院
973,浙江工业职业技术学院
974,杭州职业技术学院
975,嘉兴职业技术学院
976,湖州职业技术学院
977,绍兴职业技术学院
978,衢州职业技术学院
979,丽水职业技术学院
980,浙江东方职业技术学院
981,义乌工商职业技术学院
982,浙江纺织服装职业技术学院
983,杭州科技职业技术学院
984,浙江长征职业技术学院
985,嘉兴南洋职业技术学院
986,浙江广厦建设职业技术学院
987,杭州万向职业技术学院
988,浙江邮电职业技术学院
989,宁波卫生职业技术学院
990,台州科技职业学院
991,浙江国际海运职业技术学院
992,浙江体育职业技术学院
993,温州科技职业学院
994,浙江汽车职业技术学院
995,浙江横店影视职业学院
996,浙江农业商贸职业学院
997,浙江特殊教育职业学院
998,浙江安防职业技术学院
999,"浙江舟山群岛新区旅游与健康
职业学院"
安徽省（119所）,
1000,安徽大学
1001,中国科学技术大学
1002,合肥工业大学
1003,安徽工业大学
1004,安徽理工大学
1005,安徽工程大学
1006,安徽农业大学
1007,安徽医科大学
1008,蚌埠医学院
1009,皖南医学院
1010,安徽中医药大学
1011,安徽师范大学
1012,阜阳师范学院
1013,安庆师范大学
1014,淮北师范大学
1015,黄山学院
1016,皖西学院
1017,滁州学院
1018,安徽财经大学
1019,宿州学院
1020,巢湖学院
1021,淮南师范学院
1022,铜陵学院
1023,安徽建筑大学
1024,安徽科技学院
1025,安徽三联学院
1026,合肥学院
1027,蚌埠学院
1028,池州学院
1029,安徽新华学院
1030,安徽文达信息工程学院
1031,亳州学院
1032,安徽外国语学院
1033,安徽财经大学商学院
1034,安徽大学江淮学院
1035,安徽信息工程学院
1036,安徽工业大学工商学院
1037,安徽建筑大学城市建设学院
1038,安徽农业大学经济技术学院
1039,安徽师范大学皖江学院
1040,安徽医科大学临床医学院
1041,阜阳师范学院信息工程学院
1042,淮北师范大学信息学院
1043,合肥师范学院
1044,河海大学文天学院
1045,安徽职业技术学院
1046,淮北职业技术学院
1047,芜湖职业技术学院
1048,淮南联合大学
1049,安徽商贸职业技术学院
1050,安徽水利水电职业技术学院
1051,阜阳职业技术学院
1052,铜陵职业技术学院
1053,民办万博科技职业学院
1054,安徽警官职业学院
1055,淮南职业技术学院
1056,安徽工业经济职业技术学院
1057,合肥通用职业技术学院
1058,安徽工贸职业技术学院
1059,宿州职业技术学院
1060,六安职业技术学院
1061,安徽电子信息职业技术学院
1062,民办合肥经济技术职业学院
1063,安徽交通职业技术学院
1064,安徽体育运动职业技术学院
1065,安徽中医药高等专科学校
1066,安徽医学高等专科学校
1067,合肥职业技术学院
1068,滁州职业技术学院
1069,池州职业技术学院
1070,宣城职业技术学院
1071,安徽广播影视职业技术学院
1072,民办合肥滨湖职业技术学院
1073,安徽电气工程职业技术学院
1074,安徽冶金科技职业学院
1075,安徽城市管理职业学院
1076,安徽机电职业技术学院
1077,安徽工商职业学院
1078,安徽中澳科技职业学院
1079,阜阳科技职业学院
1080,亳州职业技术学院
1081,安徽国防科技职业学院
1082,安庆职业技术学院
1083,安徽艺术职业学院
1084,马鞍山师范高等专科学校
1085,安徽财贸职业学院
1086,安徽国际商务职业学院
1087,安徽公安职业学院
1088,安徽林业职业技术学院
1089,安徽审计职业学院
1090,安徽新闻出版职业技术学院
1091,安徽邮电职业技术学院
1092,安徽工业职业技术学院
1093,民办合肥财经职业学院
1094,安庆医药高等专科学校
1095,安徽涉外经济职业学院
1096,安徽绿海商务职业学院
1097,合肥共达职业技术学院
1098,蚌埠经济技术职业学院
1099,民办安徽旅游职业学院
1100,徽商职业学院
1101,马鞍山职业技术学院
1102,安徽现代信息工程职业学院
1103,安徽矿业职业技术学院
1104,合肥信息技术职业学院
1105,桐城师范高等专科学校
1106,黄山职业技术学院
1107,滁州城市职业学院
1108,安徽汽车职业技术学院
1109,皖西卫生职业学院
1110,合肥幼儿师范高等专科学校
1111,安徽长江职业学院
1112,安徽扬子职业技术学院
1113,安徽黄梅戏艺术职业学院
